Date,Actuals,Predicted,Predicted_Lower,Predicted_Upper,Frequency,Business,Type,Profit_Center,Region,SoldTo,External_Variable,External_Variable_Source,Model_Name
1/3/19,17810,17810,17810,17810,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
1/10/19,19160,19160,19160,19160,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
1/17/19,15813,15813,15813,15813,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
1/24/19,17918,17918,17918,17918,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
1/31/19,17444,17444,17444,17444,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
2/7/19,18390,18390,18390,18390,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
2/14/19,17093,17093,17093,17093,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
2/21/19,17562,17562,17562,17562,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
2/28/19,19026,19026,19026,19026,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
3/7/19,18309,18309,18309,18309,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
3/14/19,17588,17588,17588,17588,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
3/21/19,21642,21642,21642,21642,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
3/28/19,18136,18136,18136,18136,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
4/4/19,18149,18149,18149,18149,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
4/11/19,19340,19340,19340,19340,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
4/18/19,17719,17719,17719,17719,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
4/25/19,18431,18431,18431,18431,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
5/2/19,18914,18914,18914,18914,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
5/9/19,17549,17549,17549,17549,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
5/16/19,19677,19677,19677,19677,Weekly,Residential,POS,Retail,US,All,No,No,US Residential Retail POS Units
